Prepared by: Khaled Adad
Age Salary Total
 31,79125.00,154125.00
 32,83476.88,237601.88
 33,88068.10,325669.98
 34,92911.85,418581.83
 35,98022.00,516603.83
 36,103413.21,620017.04
 37,109100.94,729117.97
 38,115101.49,844219.46
 39,121432.07,965651.53
 40,128110.83,1093762.37
 41,135156.93,1228919.30
 42,142590.56,1371509.86
 43,150433.04,1521942.90
 44,158706.86,1680649.76
 45,167435.74,1848085.50
 46,176644.70,2024730.20
 47,186360.16,2211090.36
 48,196609.97,2407700.33
 49,207423.52,2615123.85
 50,218831.81,2833955.66
 51,230867.56,3064823.22
 52,243565.28,3308388.50
 53,256961.37,3565349.87
 54,271094.24,3836444.11
 55,286004.43,4122448.54
 56,301734.67,4424183.21
 57,318330.08,4742513.28
 58,335838.23,5078351.51
 59,354309.33,5432660.85
 60,373796.35,5806457.19
 61,394355.15,6200812.34
 62,416044.68,6616857.02
 63,438927.14,7055784.15
 64,463068.13,7518852.28
